,tag,movieId,score,tag_lowercase_dups
0,!950's Superman TV show,47950,-4.0,
1,!David O. Russell,2890,-8.0,
2,!George Clooney,2890,-9.0,
3,!George Lucas,260,-9.0,
4,"""A Christmas Carol""",4023,0.0,
5,"""A MÃ£o-de-Deus""",5294,-1.0,
6,"""American"" French",4014,-1.0,
7,"""artsy""",4552,2.0,
8,"""bad CIA""-- too simplistic",74545,0.0,"""bad cia""-- too simplistic;"
9,"""based on true events""",58201,2.0,
10,"""bitchy""",112726,0.0,
11,"""comédie""",189317,1.0,
12,"""damn dirty apes""",17298,-8.0,
13,"""Duck and cover!""",8049,-1.0,
14,"""eccentric genius""",549,0.0,
15,"""found footage""",385795,70.0,
16,"""Ghost for adults""",5034,0.0,
17,"""hero"" is murderer",83349,-2.0,
18,"""I need a computer.""",172,-1.0,
19,"""inspired"" by a book",104312,1.0,
20,"""it wasn't expecially large, but it felt hard""",119856,1.0,
21,"""It's not an American story",1488,-3.0,
22,"""Jack black""",93287,-6.0,
23,"""jackie chan"" ""chris tucker""",54648,-4.0,
24,"""Jessica Biel is hot like hell""",54004,-10.0,
25,"""lost"" film",148638,1.0,
26,"""magic negro"" stereotype",5812,0.0,
27,"""May""-weirdness -- not as good",8959,-6.0,
28,"""meet me in montauk""",7361,0.0,
29,"""middlebrow"" attempt at ""intelligent"" ending",3906,-1.0,
30,"""No high heels on the hardwood floors!""",8642,0.0,
31,"""no matter how I eat, I am fat anyway""",4890,1.0,
32,"""Nobody with a good car needs to be justified.""",7948,0.0,
33,"""not so perfect""",1030216,2.0,
34,"""Nut up or shut up""",71535,1.0,
35,"""Oh Yah""",608,-5.0,
36,"""owen wilson""",93287,-5.0,
37,"""peace",31150,-1.0,
38,"""Piggy""",100743,0.0,
39,"""potty"" jokes",8807,3.0,
40,"""retrofitted"" future",260,2.0,
41,"""rosebud""",923,-3.0,
42,"""Show me the money.""",1393,-4.0,
43,"""singing by non-singers"" in The NYer 24/31 Dec 2012",99149,-3.0,
44,"""skill is money""",8512,-1.0,
45,"""testosterone poisoning""",88163,1.0,
46,"""The Hunter""",128770,2.0,
47,"""Tonite",71838,-7.0,
48,"""underaged sex""=child porn",114636,-26.0,
49,"""We're on a mission from god""",1220,-1.0,
50,"""you had me ay ""hello""",1393,1.0,
51,#1 prediction,70042,-20.0,
52,#adventure,140074,1.0,
53,#antichrist,140074,1.0,
54,#awesome,260,0.0,
55,#boring,260,4.0,
56,#boring #Lukeiamyourfather,260,1.0,
57,#chileanfilm,96343,1.0,
58,#choices,79357,1.0,
59,#classic,260,1.0,
60,#comedy,96343,1.0,
61,#Danish,96829,1.0,
62,#documentary,188419,1.0,
63,#entertaining,140074,1.0,
64,#exorcism,140074,1.0,
65,#fantasy,260,3.0,
66,#fictionatitsbest,260,1.0,
67,#goo,260,0.0,
68,#good,260,0.0,
69,#groundbreaking #adventure #goodvsevil,260,1.0,
70,#hanks #muchstories,260,1.0,
71,#hansolo,260,1.0,
72,#jesus,131850,1.0,
73,#lifelessons,356,-1.0,
74,#lukeiamyourfather,260,0.0,
75,#mindfulness,1264,1.0,
76,#mustwatch,260,0.0,
77,#nice,260,2.0,
78,#notscary,140074,1.0,
79,#rap,188419,1.0,
80,#science,260,0.0,
81,#scifi,120476,1.0,
82,#space,260,1.0,
83,#starwars,260,1.0,
84,#thiswebsitesuckbut,81847,-3.0,
85,#thriling,50,0.0,
86,#thriller #suspense #disjointed #boring,151501,0.0,
87,#trilogy,96343,1.0,
88,#valueforMoney,2324,1.0,
89,#Vatican City,140074,1.0,
90,#wtf,140074,1.0,
91,#zen,1264,1.0,
92,&suspense,318,2.0,
93,'50's,186215,1.0,
94,'60s feel,58233,4.0,
95,'70s Pacino,3362,0.0,
96,'80s,173345,1.0,
97,'80s soundtrack,1290,1.0,
98,'90s nostalgia,123,1.0,
99,'AKA: I Will Never Get Those 2 Hours Back...Ever',56801,-7.0,
100,'Alison Lohman Stole The Whole Damn Film',6708,-2.0,
101,'And Just What Do You Think You're Doing Mr. Smeee?',2087,-1.0,
102,'And So The Bear And Little Deiter Went Off Into The Mountains & Lived Like Homosexual Bears',53550,-23.0,
103,'And When The Germans Came Over The Ridge They Suddenly Went Blind!',7828,-2.0,
104,'bad religion' trope,142508,2.0,
105,'Carrie I Don't Wanna Rain On Your Parade But That's Not Fruit Punch',1345,-4.0,
106,'Cate Dylan Hmmm...',56286,-9.0,
107,'Daddy issues',87222,-1.0,
108,'dick',54503,-1.0,
109,'dick' just isn't funny,148013,-1.0,
110,'Didn't This Already Happen To Bernie?',2359,-3.0,
